,code,ergp_line_item,status,amount,mda_code,agency,mother_ministry
42,ERGP7103864,PURCHASE OF SHREDDING MACHINES,ONGOING,2800000.0,111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,
43,ERGP7201346,PURCHASE OF MOTOR VEHICLES,ONGOING,199500000.0,111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,
44,ERGP7223722,PURCHASE OF 2 NOS PHOTOCOPYING MACHINES (XEROX WORK CENTRE C7025 OR C7030) AND 4 NOS PRINTER PHOTOCOPIERS,ONGOING,10500000.0,111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,
45,ERGP7223728,ANNUAL RENEWAL/UPGRADE OF COMPUTER SOFTWARE LICENCE,ONGOING,31500000.0,111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,
46,ERGP7223732,PURCHASE AND SERVICING OF IT EQUIPMENT,ONGOING,16150859.0,111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,
47,ERGP25223983,ANNUAL ROUTINE MAINTENANCE OF MEDICAL EQUIPMENTS AT SHMC AND VIP WING OF THE STATE HOUSE CLINIC,ONGOING,61574553.0,111001006,STATE HOUSE MEDICAL CENTRE,
48,ERGP25223993,"REMODELING AND UPGRADING OF BUILDINGS AND INFRASTRUCTURE AT THE SHMC
",ONGOING,9346866.0,111001006,STATE HOUSE MEDICAL CENTRE,
49,ERGP25224001,"PROCUREMENT OF MEDICAL EQUIPMENTS FOR SHMC AND VIP WING
",ONGOING,213418001.0,111001006,STATE HOUSE MEDICAL CENTRE,
50,ERGP27102506,"CONSTRUCTION OF 2 BLOCKS OF 24 UNITS 3 BEDROOM FLATS AT THE SHMC.
",ONGOING,23193515.0,111001006,STATE HOUSE MEDICAL CENTRE,
51,ERGP27201361,CONSTRUCTION OF CALL DUTY DOCTORS QUARTERS FOR THE STATE HOUSE MEDICAL CENTRE,ONGOING,6713383.0,111001006,STATE HOUSE MEDICAL CENTRE,
52,ERGP27201367,"FACILITY MANAGEMENT SERVICES AT STATE HOUSE MEDICAL CENTRE
",ONGOING,23587563.0,111001006,STATE HOUSE MEDICAL CENTRE,
53,ERGP27224006,"PROCUREMENT/INSTALLATION OF I NO LIFT AT THE DENTAL WING OF THE SHMC
",ONGOING,7983483.0,111001006,STATE HOUSE MEDICAL CENTRE,
54,ERGP27101630,"ROUTINE MAINTENANCE OF STATE HOUSE LAGOS FACILITIES (DODAN BARRACKS, VP RESIDENCE/GUEST HOUSES AT IKOYI, ETC)",ONGOING,10305428.0,111001007,STATE HOUSE LAGOS LIAISON OFFICE,
55,ERGP27224014,PROVISION OF FACILITY MANAGEMENT SERVICES AT THE PRESIDENTIAL FACILITIESN LAGOS,ONGOING,5004493.0,111001007,STATE HOUSE LAGOS LIAISON OFFICE,
56,ERGP27225311,COMPLETION OF RENOVATION AND FURNISHING OF STATE HOUSE ANNEX (DODAN BARRACKS) LAGOS,ONGOING,98072209.0,111001007,STATE HOUSE LAGOS LIAISON OFFICE,
57,ERGP29224020,UPGRADE OF ACCESS CONTROL (LAN) HARDWARE IN STATE HOUSE (ID CARD UNIT),ONGOING,3138311.0,111001007,STATE HOUSE LAGOS LIAISON OFFICE,
58,ERGP10201274,"SOLAR POWERED UPS & STREET LIGHTING
",ONGOING,70000000.0,111006001,"NIPSS, KURU",
59,ERGP10201277,"REPLACEMENT OF 43 YEAR OLD UNDERGROUND ELECTRICITY CABLES - ABOUT 10KMS
",ONGOING,35000000.0,111006001,"NIPSS, KURU",
60,ERGP10225309,"PURCHASE OF GENERATING SET
",ONGOING,44800000.0,111006001,"NIPSS, KURU",
61,ERGP12225302,"MAINTENANCE OF ROADS AND DRAINAGES
",ONGOING,14000000.0,111006001,"NIPSS, KURU",
62,ERGP23201261,"RENOVATION OF 40 UNITS OF PARTICIPANTS QRTS
",ONGOING,31500000.0,111006001,"NIPSS, KURU",
63,ERGP23201267,"REHABILITATION OF RESEARCH FELLOWS QTRS
",ONGOING,31500000.0,111006001,"NIPSS, KURU",
64,ERGP23225286,"REHABILITATION OF PARTICIPANTS DINNING HALL
",ONGOING,14000000.0,111006001,"NIPSS, KURU",
65,ERGP23225295,"MAINTENANCE OF ACOUSTIC ROOFING - AUDITORIUM
",ONGOING,21605403.0,111006001,"NIPSS, KURU",
66,ERGP23234834,EMPOWERING OF WOMEN & YOUTH IN ORLU-ORSU-ORU EAST FEDERAL CONSTITUENCY IMO STATE.,ONGOING,143226237.0,111006001,"NIPSS, KURU",
67,ERGP23234835,"SENSITIZATION PROGRAMME AGAINST UNDER-AGE GAMBLING AMONG YOUTHS IN ABUJA MUNICIPAL AREA COUNCIL (AMAC) FCT, ABUJA.",ONGOING,33844256.0,111006001,"NIPSS, KURU",
