code,ergp_line_item,status,amount,mda_code,agency,mother_ministry
ERGP23225295,"MAINTENANCE OF ACOUSTIC ROOFING - AUDITORIUM
",ONGOING,"21,605,403",111006001,"NIPSS, KURU",
ERGP23234834,EMPOWERING OF WOMEN & YOUTH IN ORLU-ORSU-ORU EAST FEDERAL CONSTITUENCY IMO STATE.,ONGOING,"143,226,237",111006001,"NIPSS, KURU",
ERGP23234835,"SENSITIZATION PROGRAMME AGAINST UNDER-AGE GAMBLING AMONG YOUTHS IN ABUJA MUNICIPAL AREA COUNCIL (AMAC) FCT, ABUJA.",ONGOING,"33,844,256",111006001,"NIPSS, KURU",
ERGP28201278,"CONSTRUTION OF BOREHOLES/ RESERVOIRS - 6 NOS
",ONGOING,"10,500,000",111006001,"NIPSS, KURU",
ERGP29225316,"DIGITIZATION OF WHOLE SYSTEM
",ONGOING,"66,500,000",111006001,"NIPSS, KURU",
ERGP30201264,"RESEARCH ON INDUSTRIALIZATION, DIGITAL ECONOMY AND JOB CREATION COVERING 774 LGA'S (N1.68M/LGA)",ONGOING,"31,500,000",111006001,"NIPSS, KURU",
ERGP30201275,"RESEARCH INTO SOCIO ECONOMIC PROBLEMS
",ONGOING,"35,000,000",111006001,"NIPSS, KURU",
ERGP8201271,"EQUIPING OF MEDIA HOUSE
",ONGOING,"14,000,000",111006001,"NIPSS, KURU",
ERGP1102191,"IT INFRASTRUCTURE AND ASSOCIATED EQUIPMENT
",ONGOING,"98,175,000",111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),
ERGP1102209,"PURCHASE OF OFFICE FURNITURE AND FITTINGS FOR THE BUREAU'S WING B BUILDING
",ONGOING,"14,907,375",111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),
ERGP1205869,"PURCHASE OF LAP TOP AND DESKTOP COMPUTERS FOR BPE STAFF OFFICIAL USE
",ONGOING,"110,726,000",111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),
ERGP1205905,"REMODELING OF SECURITY HOUSE AND BPE MAIN ENTRANCE DOOR
",ONGOING,"14,000,000",111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),
ERGP16234836,"""ACQUISITION OF BUREAU OF PUBLIC PROCUREMENT HEADQUARTER OFFICE IN ABUJA """,ONGOING,"14,000,000,000",111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),
ERGP7157033,"PURCHASE OF TOYOTA COASTER 30 SEAT FOR BPE OFFICIAL USE
",ONGOING,"154,662,453",111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),
ERGP15225469,"PURCHASE OF OFFICE FURNITURE & FITTINGS-OFFICE TABLES,CHAIRS,VISITORS CHAIRS,AIR CONDITIONERS FOR NEW ZONAL OFFICES -EKITI,ANAMBRA&KATSINA",ONGOING,"350,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15225491,"PURCHASE OF HP & DESKJET COULORED, BLACK & WHITE PRINTERS
",ONGOING,"17,500,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15225497,"PURCHASE OF SHARP, PANASONIC, RICOH & RANK ZEROX PHOTOCOPYING MACHINES FOR NEW ZONAL OFFICES",ONGOING,"70,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15225510,"PURCHASE OF HP & INDURSTRAL SCANNERS FOR NEW ZONAL OFFICES
",ONGOING,"17,500,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15225516,ADDITIONAL INFRASTRUCTURE DEVELOPMENT OF 10 NEW HECTARES FOR EFCC ACADEMY AT AIRPORT ROAD ABUJA,ONGOING,"350,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15225539,ACQUISITION & RENEWAL OF VARIOUS ICT SOFTWARE & FORENSIC EQUIPMENTS LICENSES,ONGOING,"210,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15226105,"ACQUISITION OF ICT HARDWARES, FORENSIC HARDWARES & OTHER CAPITAL PROJECTS",ONGOING,"277,517,033",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15226503,"PURCHASE OF DELL & HP DESKTOP COMPUTERS & LAPTOPS FOR NEW ZONAL OFFICES
",ONGOING,"105,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15226519,"RENEWAL OF CONSULTANCY FOR NEW ACADEMY, ABUJA (ADDITITIONAL 10 HECTARES & MAIN BUILDING)",ONGOING,"427,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15234837,"DESIGN AND CONSTRUCTION OF LAGOS OFFICE
",ONGOING,"4,200,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15234838,"""PHASE 2, MECHANICAL/ ELECTRICAL WORKS FOR NEW ACADEMY, ABUJA ""
",ONGOING,"3,500,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15234839,"""OFFICE BUILDINGS FOR 3 NEW ZONAL DIRECTORATES ""
",ONGOING,"1,400,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15234840,"""PURCHASE OF MOTOR VEHICLES (20 HILUXES, 20 BUSES AND CARS FOR MANAGEMENT STAFF) """,ONGOING,"1,750,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15234841,"""ACQUISITION OF LAND GOMBE, KADUNA, MARKUDI, BENIN, UYO AND IBADAN ZONAL DIRECTORATES """,ONGOING,"2,100,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15234842,"""PURCHASE OF OFFICE FURNTURE AND FITTINGS FOR 3 NEW AND 14 EXISTING ZONAL DIRECTORATES """,ONGOING,"350,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15234843,"""OUTSTANDING FOR INFRASTRUCTURE DEVELOPMENT OF THE NEW ACADEMY, ABUJA (JB PLC CONSULTANTS) """,ONGOING,"490,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15234844,"""PURCHASE AND FIREPROOF SECURITY SAFE AND CABINETS ""
",ONGOING,"210,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15234845,"""INFRASTRUCTURE DEVELOPMENT OF NEW ACADEMY, ABUJA FOR AN ADDITIONAL 10 HECTARES """,ONGOING,"2,100,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15234846,"""AWARD OF CONSULTANCY FOR NEW ACADEMY, ABUJA ADDITIONAL 10 HECTARES AND MAIN BUILDING """,ONGOING,"700,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15234847,"""COMPUTER SOFTWARE/ HARDWARE ACQUISITION AND FORENSIC ""
",ONGOING,"700,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15234848,"DESIGN AND CONSTRUCTION OF KANO OFFICE
",ONGOING,"3,500,000,000",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
ERGP15112815,"PURCHASE OF COMPUTER SOFTWARE AND HARDWARE
",ONGOING,"710,500,000",111009002,NIGERIAN FINANCIAL INTELLIGENCE UNIT (NFIU),
ERGP15191948,"PURCHASE OF SECURITY EQUIPMENT (HARDWARE)
",ONGOING,"70,000,000",111009002,NIGERIAN FINANCIAL INTELLIGENCE UNIT (NFIU),
ERGP15225567,"PURCHASE OF OFFICE FURNITURE , FITTINGS AND EQUIPMENT FOR THE HEAD OFFICE AND PROPSED TRAINING SCHOOL",ONGOING,"420,280,929",111009002,NIGERIAN FINANCIAL INTELLIGENCE UNIT (NFIU),
ERGP30196433,"PURCHASE OF MOTOR VEHICLES
",ONGOING,"490,000,000",111009002,NIGERIAN FINANCIAL INTELLIGENCE UNIT (NFIU),
ERGP15225464,DIRECT PURCHASE OF OPERATIONAL VEHICLES,ONGOING,"336,000,000",111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
ERGP15225544,PROVISION OF OFFICE FURNITURES AND FITTINGS,ONGOING,"38,621,836",111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
ERGP15225564,PROCUREMENT OF PHOTOCOPIER MACHINE,ONGOING,"31,500,000",111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
