code,ergp_line_item,mda,mother_ministry,amount,similarity_score,mandate_deviation_score
ERGP30208807,PROVISION OF INFRASTRUCTURE FOR INTERNATIONAL PUBLIC SECTOR ACCOUNTING STANDARD (IPSAS) & CAPACITY BUILDING FOR ACCOUNTS AND BUDGET OFFICERS ON,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,514795390.0,0.2774,72.26
ERGP30208810,FIELD AND PROTECTIVEGEARS FOR VISIT AND OPERATIONAL SUPERVISION OF AGRICULTURE AND FOOD SECURITY PROJECTS,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,420000000.0,0.3376,66.24
ERGP30231444,"EXTENSION SERVICES SUPPORT TO ALL THE AGRICULTURAL VALUE CHAINS
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,941605065.0,0.2964,70.36
ERGP30231450,PROMOTION OF CLIMATE SMART FOOD PRODUCTION PROGRAMME FOR YOUTH EMPOWERMENT,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,203588284.0,0.1912,80.88
ERGP30231454,"IMPLEMENTATION OF ECOWAS AGRO-ECOLOGY PROGRAMMES IN NIGERIA
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,350000000.0,0.5092,49.08
ERGP30231485,ESTABLISHMENT OF AGRICULTURE INNOVATION HUB IN THE MINISTRY AND STAKEHOLDERS ENGAGEMENT IN LINE WITH PRESIDENTIAL PRIORITIES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,140000000.0,0.3787,62.13
ERGP30231488,PROMOTION AND DEVELOPMENT OF AGRICULTURAL VALUE CHAIN COOPERATIVES TO SCALE UP FOOD PRODUCTION AND ENSURE FOOD SECURITY FOR NIGERIA,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,765800000.0,0.398,60.2
ERGP30231504,"ESTABLISHMENT OF COTTAGE AND SMALL SCALE AGRO PROCESSING INDUSTRIES IN SELECTED STATES FOR VALUE ADDITION, EMPLOYMENT GENERATION AND FOOD",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,231000000.0,0.2662,73.38
ERGP30231508,"DEVELOPMENT OF A COMPENDIUM OF AGRO-BASE EQUIPMENT MANUFACTURERS, FABRICATORS, AND AGRO PROCESSORS IN NIGERIA",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,175000000.0,0.4124,58.76
ERGP30231510,"ESTABLISHMENT OF THE AGRO-PRODUCE CONDITIONING CENTRES IN FARM CLUSTERS
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,140000000.0,0.1896,81.04
